row_id,deal_id,customer_name,customer_email,region,department,product,sales_rep,Q3 Rev (final)(USE THIS),net_revenue,customer_count,recorded_at,recorded_at_utc,notes
row_id,deal_id,customer_name,customer_email,region,department,product,sales_rep,Q3 Rev (final)(USE THIS),net_revenue,customer_count,recorded_at,recorded_at_utc,notes
1,D-2026Q3-01001,Customer 001 Inc.,contact001@acme.example,LATAM,Customer Success,Worm Pro,José Álvarez,#REF!,#N/A,-9999,2026-08-15 00:53:00,2026-08-15T00:53:00Z,upsell
2,D-2026Q3-01002,Customer 002 Inc.,contact002@acme.example,NA,Customer Success,Worm Enterprise,Jürgen Müller,446759.51,417689.05,12,2026-07-14 15:30:00,2026-07-14T15:30:00Z,expansion — multi-year
3,D-2026Q3-01003,Customer 003 Inc.,contact003@globex.example,LATAM,Customer Success,Worm Pro,Élise Dupont,220850.94,187080.11,115,2026-07-25 17:47:00,2026-07-25T17:47:00Z,expansion — multi-year
4,D-2026Q3-01004,Customer 004 Inc.,contact004@globex.example,LATAM,Marketing,Worm Audit,José Álvarez,416379.19,329390.74,137,2026-09-10 02:03:00,2026-09-10T02:03:00Z,upsell
5,D-2026Q3-01005,Customer 005 Inc.,contact005@globex.example,LATAM,Finance,Worm Core,André Chen,200676.29,180070.17,236,2026-08-11 23:55:00,2026-08-11T23:55:00Z,expansion — multi-year
6,D-2026Q3-01006,Customer 006 Inc.,contact006@initech.example,NA,Customer Success,Worm Core,Mario Rossi,301989.28,277316.61,129,2026-09-21 15:50:00,2026-09-21T15:50:00Z,new logo
7,D-2026Q3-01007,Customer 007 Inc.,contact007@umbrella.example,EMEA,Customer Success,Worm Core,Sofía Martínez,348783.84,308542.97,229,2026-08-03 04:51:00,2026-08-03T04:51:00Z,churn risk
8,D-2026Q3-01008,Customer 008 Inc.,contact008@umbrella.example,APAC,Sales,Worm Core,José Álvarez,430136.59,347994.99,232,2026-08-21 11:15:00,2026-08-21T11:15:00Z,—
9,D-2026Q3-01009,Customer 009 Inc.,contact009@initech.example,LATAM,Sales,Worm Core,Chloé O'Brien,469353.56,430945.11,97,2026-08-27 21:12:00,2026-08-27T21:12:00Z,churn risk
10,D-2026Q3-01010,Customer 010 Inc.,contact010@acme.example,NA,Product,Worm Pro,François Dubois,379960.9,329245.85,202,2026-09-13 15:47:00,2026-09-13T15:47:00Z,pilot — eval phase
11,D-2026Q3-01011,Customer 011 Inc.,contact011@stark.example,LATAM,Marketing,Worm Audit,Renée García,220551.41,172937.29,44,2026-08-18 16:53:00,2026-08-18T16:53:00Z,pilot — eval phase
12,D-2026Q3-01012,Customer 012 Inc.,contact012@initech.example,EMEA,Sales,Worm Lite,Chloé O'Brien,415188.45,350840.71,174,2026-09-02 22:26:00,2026-09-02T22:26:00Z,new logo
13,D-2026Q3-01013,Customer 013 Inc.,contact013@stark.example,LATAM,Product,Worm Audit,José Álvarez,359692.08,326165.59,204,2026-08-16 10:21:00,2026-08-16T10:21:00Z,expansion — multi-year
14,D-2026Q3-01014,Customer 014 Inc.,contact014@acme.example,EMEA,Sales,Worm Core,Renée García,424678.08,359378.73,240,2026-09-22 09:28:00,2026-09-22T09:28:00Z,churn risk
15,D-2026Q3-01015,Customer 015 Inc.,contact015@acme.example,EMEA,Marketing,Worm Lite,André Chen,109835.51,90201.96,208,2026-08-15 09:36:00,2026-08-15T09:36:00Z,upsell
16,D-2026Q3-01016,Customer 016 Inc.,contact016@globex.example,EMEA,Product,Worm Audit,José Álvarez,127976.12,119612.17,8,2026-07-23 03:52:00,2026-07-23T03:52:00Z,upsell
17,D-2026Q3-01017,Customer 017 Inc.,contact017@umbrella.example,NA,Sales,Worm Lite,André Chen,123503.04,101864.36,210,2026-08-15 19:03:00,2026-08-15T19:03:00Z,—
18,D-2026Q3-01018,Customer 018 Inc.,contact018@stark.example,LATAM,Product,Worm Core,Fátima Hassan,88546.85,69520.62,75,2026-07-18 15:29:00,2026-07-18T15:29:00Z,expansion — multi-year
19,D-2026Q3-01019,Customer 019 Inc.,contact019@stark.example,NA,Product,Worm Pro,Chloé O'Brien,360789.74,285891.81,5,2026-07-04 21:23:00,2026-07-04T21:23:00Z,expansion — multi-year
20,D-2026Q3-01020,Customer 020 Inc.,contact020@initech.example,LATAM,Product,Worm Pro,José Álvarez,373442.18,307761.21,51,2026-09-26 15:09:00,2026-09-26T15:09:00Z,new logo
21,D-2026Q3-01021,Customer 021 Inc.,contact021@stark.example,LATAM,Product,Worm Enterprise,Jürgen Müller,383470.46,346089.11,50,2026-07-02 05:32:00,2026-07-02T05:32:00Z,—
22,D-2026Q3-01022,Customer 022 Inc.,contact022@initech.example,LATAM,Finance,Worm Audit,Élise Dupont,104185.25,83157.18,229,2026-07-21 11:07:00,2026-07-21T11:07:00Z,new logo
23,D-2026Q3-01023,Customer 023 Inc.,contact023@umbrella.example,NA,Sales,Worm Lite,Renée García,17962.19,16616.42,93,2026-08-26 19:09:00,2026-08-26T19:09:00Z,churn risk
24,D-2026Q3-01024,Customer 024 Inc.,contact024@globex.example,APAC,Finance,Worm Pro,François Dubois,447295.11,384050.86,-9999,2026-08-05 10:54:00,2026-08-05T10:54:00Z,upsell
25,D-2026Q3-01025,Customer 025 Inc.,contact025@umbrella.example,NA,Customer Success,Worm Lite,André Chen,164249.49,140551.15,22,2026-09-06 20:09:00,2026-09-06T20:09:00Z,churn risk
